symbol,platforms_with_ids
aigc,"{""46908cca4fb21fa9f22e27ce525632b463e0ead4813865026ee2d3fd01301f32i0"":""aigc-ordinals""}"
sphr,{}
hzm,"{""0x069f967be0ca21c7d793d8c343f71e597d9a49b3"":""hzm-coin""}"
shoe,"{""0x096d19b58cab84a2f0ff0e81c08291bffaa62848"":""shoe404"",""0x0fd67b4ceb9b607ef206904ec73459c4880132c9"":""shoefy"",""0xc0f42b31d154234a0a3ebe7ec52c662101c1d9bc"":""shoefy"",""8XVXzmsMMw7ufa8RC21fHcDP6TGti5y3ZidQinnYurqr"":""shoe""}"
tom,"{""0xeeecd285f60e802ecb6d8d8d37790c887f9a4b33"":""big-tom"",""0xf7970499814654cd13cb7b6e7634a12a7a8a9abc"":""tom-finance""}"
fksk,"{""0x4a7521236ea97d99346d17deeb0fe13fcef2cb83"":""fatih-karagumruk-sk-fan-token""}"
gmfam,"{""0xe9da5e227e3fa4fc933b5f540be021e7ecc3fd81"":""gmfam""}"
pnp,"{""0x2ac2b254bc18cd4999f64773a966e4f4869c34ee"":""penpie"",""0x5012c90f14d190607662ca8344120812aaa2639d"":""penpie"",""0x7dedbce5a2e31e4c75f87fea60bf796c17718715"":""penpie"",""0xc4a65a93dd6cd9717551ebe827e8baee025d1d7e"":""penpie""}"
potdog,"{""4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK"":""potdog""}"
tbtc,"{""0x18084fba666a33d37592fa2633fd49a74dd93a88"":""tbtc"",""0x236aa50979d5f3de3bd1eeb40e81137f22ab794b"":""tbtc"",""0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40"":""tbtc"",""6DNSN2BJsaPFdFFc1zP37kkeNe4Usc1Sqkzr9C9vPWcU"":""tbtc""}"
prints,"{""0x4dd28568d05f09b02220b09c2cb307bfd837cb95"":""fingerprints""}"
nobl,"{""0x88b9f5c66342ebaf661b3e2836b807c8cb1b3195"":""nobleblocks""}"
snail,"{""0x6bc40d4099f9057b23af309c08d935b890d7adc0"":""snailbrook"",""asset1h0ttnvc5rp2p3647knuwsyt309u0v9pdsyp54h"":""pinky-the-snail""}"
plspad,"{""0x8a74bc8c372bc7f0e9ca3f6ac0df51be15aec47a"":""pulsepad""}"
scfx,"{""0x1858a8d367e69cd9e23d0da4169885a47f05f1be"":""shui-cfx""}"
epix,"{""0x90e1f81b298f6c180ce6f71a6bdb4acf41be8e01"":""byepix""}"
groove,"{""0x1cd38856ee0fdfd65c757e530e3b1de3061008d3"":""groove""}"
rupee,"{""0x7b0409a3a3f79baa284035d48e1dfd581d7d7654"":""hyruleswap""}"
mura,"{""0x166295ebd6a938c7aaf61350eb5161a9939ab2b7"":""murasaki""}"
plsrdnt,"{""0x6dbf2155b0636cb3fd5359fccefb8a2c02b6cb51"":""plutus-rdnt""}"
babyslerf,"{""3K3F9G7zrPd9hPnCDKbBGXwHM85CD1ewLyzNsH51Ry43"":""baby-slerf""}"
xencat,"{""7UN8WkBumTUCofVPXCPjNWQ6msQhzrg9tFQRP48Nmw5V"":""solxencat""}"
pai,"{""0x20f031e2eca9e9247eb8c57bab5db9a1daa9c5d1"":""piuai"",""0xa0cc4428fbb652c396f28dce8868b8743742a71c"":""purple-ai"",""1fd6e032e8476c4aa54c18c1a308dce83940e8f4a28f576440513ed7326ad489"":""paideia"",""Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS"":""parrot-usd""}"
pup,"{""0xcfe2cf35d2bdde84967e67d00ad74237e234ce59"":""polypup""}"
rope,"{""8PMHT4swUMtBzgHnh5U564N5sjPSiUz2cjEQzFnnP1Fo"":""rope-token""}"
